914,5,342
712,3,498
344,4,705
203,8,656
918,1,989
821,6,662
192,7,735
713,2,312
57,9,2
647,5,130
64,9,891
223,2,621
811,3,624
774,1,916
296,2,35
119,5,968
323,7,159
438,9,15
302,7,982
142,4,166
168,1,893
806,2,602
366,2,489
869,1,477
175,4,924
909,8,201
127,9,264
529,2,714
856,3,191
830,10,165
361,5,90
45,6,816
738,7,289
441,8,964
53,1,598
542,8,32
729,9,967
853,3,486
886,3,669
319,7,188
271,6,98
117,6,547
843,2,44
849,7,851
656,7,272
102,8,228
599,4,364
632,2,976
670,8,412
181,2,903
996,1,320
216,8,589
738,2,691
601,5,702
534,8,877
986,1,560
841,5,33
835,2,498
930,5,866
120,3,522
845,8,459
886,7,966
70,3,281
934,3,427
3,2,976
293,3,894
416,2,195
167,4,874
965,4,422
790,6,333
219,10,633
93,10,215
245,6,600
305,6,352
586,7,365
672,5,257
944,10,229
365,9,772
64,3,702
34,4,409
303,7,521
302,4,809
698,9,207
415,4,226
502,5,710
327,8,129
394,4,219
755,6,857
449,6,956
962,7,130
606,8,512
258,8,355
204,3,188
218,8,688
443,5,704
220,2,769
633,9,862
179,10,385
854,1,948
76,9,104
664,9,514
348,5,586
465,1,752
810,3,212
993,4,205
104,6,468
894,8,366
527,3,489
944,9,390
575,5,601
713,7,618
715,6,377
611,2,921
862,6,465
663,1,193
573,2,86
116,8,124
547,9,79
948,8,633
516,9,504
401,6,444
301,6,79
888,8,612
993,2,681
970,2,319
711,7,950
478,10,198
578,6,305
613,4,392
655,3,409
998,5,764
52,6,545
329,8,142
230,4,758
160,2,205
252,5,988
556,7,3
918,3,291
729,10,14
533,2,385
366,6,56
741,3,781
485,6,130
329,9,570
8,9,820
215,9,832
237,8,859
992,4,827
451,8,521
697,10,715
364,1,739
536,6,748
430,3,340
952,10,973
609,1,376
828,2,817
781,10,130
331,4,261
120,4,809
353,7,541
274,8,795
874,7,626
279,2,557
583,2,794
717,6,634
662,7,586
473,1,83
905,9,479
261,1,258
429,3,182
819,3,880
555,1,885
402,7,576
143,2,216
699,2,628
855,3,867
984,3,126
317,3,622
818,8,795
65,2,122
976,6,116
678,9,845
201,2,200
963,7,983
255,3,292
638,6,256
325,10,122
804,2,980
835,4,804
6,9,886
960,1,318
644,7,864
277,1,176
734,1,899
928,5,430
933,7,146
939,1,931
327,9,541
741,8,273
677,4,437
298,8,862
830,4,140
716,5,599
706,8,892
747,9,878
289,5,472
738,5,764
597,10,63
370,6,127
796,9,191
250,1,897
615,5,525
989,3,551
785,2,292
62,4,45
398,1,21
652,9,255
51,4,534
237,8,961
218,9,103
658,7,434
394,2,541
398,6,66
169,4,499
579,2,826
818,10,639
575,2,426
145,6,340
80,9,577
869,5,8
542,4,464
186,4,54
129,2,407
76,4,920
633,4,13
540,10,634
626,5,827
464,8,455
435,4,857
102,1,605
232,8,695
422,6,569
892,3,444
361,5,22
781,1,178
409,10,637
887,6,810
482,6,396
432,4,193
949,10,779
816,6,989
473,3,720
396,8,437
945,6,680
9,6,262
83,6,61
122,6,964
912,8,676
591,2,215
132,4,59
837,5,118
689,9,790
811,7,301
694,6,199
1000,8,38
153,1,770
523,6,266
214,2,945
403,8,335
947,2,795
873,9,45
816,1,906
753,10,454
62,1,638
651,3,569
788,2,743
947,4,685
779,10,860
726,8,572
135,10,361
959,9,480
794,1,166
556,5,564
179,4,470
647,1,826
673,5,821
775,1,145
855,2,352
735,6,570
332,10,165
535,8,23
149,4,904
584,8,172
30,9,24
543,9,733
716,9,649
988,7,290
725,9,699
716,6,31
486,3,314
217,9,138
137,9,295
319,5,87
25,1,40
112,6,883
98,1,387
205,10,654
399,9,620
401,8,728
951,7,672
496,6,804
439,3,227
309,1,675
782,10,619
452,8,483
161,2,537
129,7,499
707,9,77
570,5,116
893,8,154
469,4,88
412,2,509
386,4,735
930,8,912
234,7,408
4,1,269
434,10,24
865,4,45
79,10,45
109,5,684
627,1,56
325,9,334
18,7,956
243,6,664
845,5,794
385,7,724
606,4,943
969,5,911
103,1,183
460,8,897
42,7,768
114,7,865
370,8,416
592,1,626
363,7,241
193,3,129
724,5,421
252,1,216
524,1,695
808,6,509
267,1,172
965,5,896
168,1,541
402,3,742
286,7,606
424,4,845
101,8,903
678,4,942
631,10,701
974,4,317
696,6,152
831,4,208
825,6,378
600,4,671
143,3,201
245,1,54
618,2,895
958,8,127
671,3,4
64,2,867
571,1,997
345,5,210
715,4,742
16,2,904
587,2,41
883,5,118
420,6,794
96,1,963
648,10,943
180,10,793
155,5,507
599,6,98
67,6,354
564,8,235
239,6,586
119,1,291
766,7,488
422,1,374
82,5,963
824,1,39
866,4,877
721,2,698
947,7,428
62,8,635
512,10,994
999,5,449
471,7,3
725,6,200
972,8,398
531,8,819
675,3,717
118,3,705
953,6,313
601,3,770
482,6,550
75,6,975
316,7,963
792,6,482
331,8,418
57,7,99
300,7,629
741,5,629
885,7,914
547,8,919
30,1,519
836,8,73
757,8,459
329,9,792
282,3,515
374,4,579
554,9,210
659,6,819
509,10,520
119,2,847
470,8,169
912,6,332
34,3,456
235,2,220
684,10,764
500,8,391
170,3,975
945,5,468
317,5,483
935,1,115
330,4,754
210,4,115
596,2,808
953,10,316
964,7,661
108,3,473
217,5,740
145,1,609
480,4,648
889,8,646
669,10,310
155,2,953
569,1,413
781,5,117
296,10,157
605,8,608
240,2,407
375,4,15
380,5,758
706,7,129
890,10,335
743,6,125
819,3,357
145,9,771
406,9,954
897,4,319
920,10,16
309,6,998
230,7,341
846,3,202
624,7,166
746,10,685
458,6,611
824,6,112
306,9,760
443,6,674
278,4,540
360,2,170
164,3,231
237,2,504
327,6,327
393,10,595
912,6,262
842,8,388
970,5,189
248,9,705
342,1,681
326,6,125
755,6,361
698,3,265
604,7,869
872,6,642
809,7,596
913,6,58
505,7,419
412,10,118
68,1,561
636,8,865
800,6,446
639,4,186
769,9,844
942,1,585
291,5,447
371,1,89
900,3,327
909,2,378
750,4,77
828,10,651
658,10,855
759,7,75
7,3,977
537,5,547
730,2,931
530,5,936
221,3,991
118,9,658
213,7,890
875,4,542
393,8,314
526,2,841
364,7,958
845,3,776
709,10,666
181,3,984
141,6,328
653,1,11
694,3,91
522,8,203
43,10,631
261,9,81
51,9,349
599,9,652
850,1,983
811,9,801
367,5,653
639,1,861
642,10,449
257,6,696
667,8,899
258,1,206
148,9,694
680,7,244
661,3,652
439,1,466
716,5,463
759,1,807
859,10,396
384,5,507
129,8,590
813,8,902
327,1,175
883,7,525
610,5,294
394,8,459
959,5,182
174,2,187
611,8,19
163,3,692
145,10,244
342,9,73
551,7,692
583,9,146
175,7,880
888,4,111
326,7,646
228,4,47
511,4,16
980,10,840
537,1,669
734,3,242
163,4,248
656,1,442
436,8,926
430,5,278
957,10,9
268,10,296
584,1,336
148,7,952
192,2,321
348,10,720
525,8,521
111,10,949
569,6,273
748,3,844
656,4,91
29,7,879
319,9,398
321,8,329
620,9,884
132,10,432
974,7,286
710,6,18
989,1,733
265,4,444
742,5,575
506,1,94
157,7,798
271,3,888
108,10,404
615,7,949
328,7,352
478,8,121
638,8,379
945,7,458
216,9,510
697,6,401
635,8,925
538,8,876
946,6,809
100,7,563
885,4,155
161,3,195
838,10,974
85,6,553
943,1,747
280,10,555
198,7,936
187,10,898
554,2,642
753,3,455
960,2,139
238,6,141
955,1,255
913,3,233
588,10,467
648,6,307
190,8,164
643,3,495
934,10,393
858,2,473
821,10,101
517,10,741
776,6,666
742,5,684
458,7,534
105,3,633
177,6,822
484,4,809
122,7,185
66,7,138
915,4,99
917,3,22
361,9,120
17,2,765
964,6,385
531,2,247
984,9,872
374,8,578
671,7,187
219,6,799
604,3,473
519,7,430
902,9,380
947,3,813
179,9,493
682,3,150
580,9,251
653,10,621
900,1,851
170,1,866
567,8,940
146,9,90
92,6,988
336,9,743
948,3,87
306,7,677
985,3,669
212,7,947
303,5,200
572,3,984
227,7,380
160,2,964
937,7,279
755,9,232
953,2,442
923,4,150
14,1,416
72,3,367
67,4,367
628,9,699
471,7,846
931,8,552
9,4,762
617,6,670
20,6,547
153,4,483
7,5,791
386,5,979
719,8,55
256,1,673
479,4,742
560,9,687
62,5,351
556,8,49
736,8,282
447,2,13
593,8,402
642,2,564
435,1,424
679,1,783
714,4,100
646,3,65
663,5,905
687,4,696
375,5,290
681,9,238
948,3,276
423,4,162
798,3,208
223,10,571
65,7,190
242,6,530
771,6,296
630,8,73
994,4,54
118,2,673
461,5,955
901,5,74
867,1,387
184,4,546
479,5,51
67,10,544
554,3,754
947,6,756
629,3,799
153,3,692
542,2,627
117,3,351
466,8,993
77,10,893
448,2,783
320,5,367
623,7,96
402,7,78
74,2,567
566,1,333
512,1,154
724,6,429
759,1,33
342,4,663
838,6,774
579,9,780
190,6,26
247,8,750
923,10,211
39,8,151
662,1,891
713,3,704
250,4,306
708,7,934
508,6,272
26,9,148
923,5,361
926,5,841
383,1,322
295,9,898
26,4,374
176,4,62
666,5,787
323,8,42
736,8,576
167,10,535
672,1,250
894,9,373
557,7,522
522,6,886
527,9,992
928,2,993
827,1,852
153,1,297
878,3,242
130,6,155
268,9,284
215,5,413
575,5,344
10,4,27
263,10,490
110,6,479
610,2,548
681,7,535
890,9,772
379,7,656
511,6,443
364,4,303
160,9,216
323,7,353
212,8,113
609,8,554
865,7,516
89,10,949
254,7,45
136,8,789
329,10,947
603,3,922
155,3,700
877,1,670
328,2,782
813,10,893
371,7,24
955,9,521
797,5,554
16,9,469
536,3,621
734,5,143
491,3,685
273,6,786
235,4,108
741,1,375
695,7,833
699,7,757
13,4,398
443,3,507
46,10,827
940,4,918
521,4,473
848,9,291
56,2,66
906,2,507
672,1,968
577,3,765
92,1,947
646,5,663
198,4,134
604,9,220
155,7,290
801,10,134
676,6,323
219,5,390
796,5,332
762,10,160
523,5,98
654,6,95
700,3,129
948,5,199
445,8,890
84,1,861
654,2,673
592,10,940
667,8,315
291,9,939
193,3,353
128,7,875
324,2,45
294,6,620
579,8,875
632,7,702
782,9,316
899,3,234
115,2,207
299,8,781
823,1,925
502,1,95
432,10,673
162,2,198
363,3,693
647,9,531
339,7,25
256,2,662
406,5,955
508,7,77
665,1,662
365,4,938
659,1,920
611,10,686
471,8,6
360,2,760
919,4,372
604,5,327
209,6,869
141,6,18
666,3,363
329,8,910
117,4,445
861,3,427
505,1,713
108,1,468
853,3,253
916,3,377
464,6,640
518,9,495
731,8,44
903,4,184
891,10,885
562,8,834
898,2,753
667,4,89
493,9,789
562,1,822
231,2,751
379,5,525
216,1,545
943,8,407
104,1,446
983,7,51
512,4,192
494,5,677
695,5,713
627,6,926
20,5,465
37,7,618
294,9,454
745,1,430
615,9,309
913,7,641
683,3,259
439,5,973
362,3,612
137,5,305
768,5,320
494,1,503
334,2,907
125,6,292
222,4,360
751,7,43
191,9,476
336,7,451
187,6,115
495,6,79
729,9,765
556,8,571
802,10,72
118,6,450
124,2,736
362,9,406
698,3,141
546,3,997
39,3,459
688,6,87
420,4,46
688,4,96
246,4,156
496,9,806
714,2,414
56,10,716
463,2,160
984,5,426
563,5,44
633,3,370
100,5,625
518,2,700
978,4,243
848,3,646
897,4,543
595,6,474
868,10,895
215,3,418
884,9,334
210,4,357
350,8,814
277,3,282
222,1,572
409,2,457
937,5,633
945,3,282
865,6,312
809,5,353
712,8,847
571,8,362
145,3,871
133,1,445
614,9,406
290,3,732
156,3,920
814,3,983
766,2,639
280,4,452
806,7,861
388,10,627
242,5,264
330,5,848
808,1,338
529,2,46
531,3,80
967,10,179
493,2,102
800,3,805
515,6,580
374,7,784
125,2,407
133,5,534
737,4,800
414,7,340
287,9,877
98,8,892
413,5,557
362,9,295
856,9,315
495,10,883
641,7,679
909,2,145
334,1,75
680,4,417
473,9,327
214,6,477
392,8,486
746,4,276
512,2,138
903,3,852
104,8,853
13,9,621
775,6,443
313,4,163
121,1,599
370,4,806
676,3,985
452,10,569
